name,category,phone_number,address,website,latitude,longitude,place_id
Jaquar Authorized Dealer - MV Patel & Company,plumber,08071935111,"Plot No 15, Meera Path, nearby Nehru Park, Colony, Dhenu Market, Indore, Madhya Pradesh 452003",https://dealers.jaquar.com,,,
Genie Xpert,plumber,07770883626,"3rd floor, sadguru Paradise pu3, 305, Scheme 54 PU4, Indore, Madhya Pradesh 452010",https://geniexpert.com,,,
Imran plumber,plumber,,,,,,
Rathi Brothers Home Stores ( R B Home Stores ),plumber,09425054967,"Police Station, 10-16, Hukumchand Ginning Complex 49, Sheelnath Camp, near Pardesi Pura, Indore, Madhya Pradesh 452003",,,,
KHANDELWAL SANITARY WARES,plumber,07987111077,"G-5 Centrepoint, Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452001",https://khandelwal-sanitary.grexa.site,,,
Shubham Syndicate,plumber,09826618777,"62, Ahilya Pura, Indore, Madhya Pradesh 452002",,,,
Puranmal Sons Indore - Waterwell Authorised partner (Water Storage Tanks),plumber,08878866667,"Gate No.1, Puranmal Sons Indore, Plot No 254, Siddhachal Appartment, Jawahar Marg, nearby Vaishnav School, Raj Mohalla, Indore, Madhya Pradesh 452002",https://channelpartner.vectus.in,22.7153716,75.8425394,
Raj Sanitaryware,plumber,09425475667,"LG-75 UG, Icici bank, A-74, New Siyaganj, Indore, Madhya Pradesh 452001",https://instagram.com,,,
Chouhan plumber work and group,plumber,08719931695,"Bhangiya - Shakkar Khedi Rd, village, Kumedi, Indore, Madhya Pradesh 453555",,22.7844825,75.8693638,
Manju Shree Sanitations,plumber,09893154986,"16, Hukumchand Marg, Itwaria Bazaar, Indore, Madhya Pradesh 452002",,,,
Plumbing services and All Plumbing Solutions,plumber,,"PRP8+87R, Chota Bangarda, Indore, Madhya Pradesh 452005",,,,
OM SAAI RAM DOMESTIC SERVICES (ALL PAINTING WORKS ),plumber,,"JUNIOR MIG, 28, Jai Bajrang Nagar, Indore, Madhya Pradesh 452011",,,,
"Rajkamal Traders (Plumber Bathware Authorised Dealer) | Sanitaryware, Designer Wash Basins, Bathroom Fittings, Pipes",plumber,09826453419,"15/1, Sarthak Plaza, Ug 11, Maharani Rd, Indore, Madhya Pradesh 452007",,22.7172922,75.8647311,
Akhil plumbing work,plumber,,"Pachwati nx colony, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",,22.75521,75.8968202,
Parag Traders,plumber,08223905083,"Race Course Rd, Near Kapas BhavanNear Kapas Bhavan, Dil Pasand Colony, Race Course Road, Indore, Madhya Pradesh 452003",https://thewindowfactory.in,,,
Shri Shyam Ceramics And Tiles,plumber,08962524144,"84/B, opp. Radisson blu hotel, Sector C, Sheetal Nagar, Indore, Madhya Pradesh 452010",,,,
Siree mahakal plumber sarvise,plumber,,"MR 9 Rd, Asha Nagar, Indore, Madhya Pradesh 452011",,,,
Tarun Traders,plumber,07746012410,"29/2, Godha Colony, Indore, Madhya Pradesh 452007",,22.7079383,75.8581896,
Doctor Babu,plumber,09826359034,"117, NX Sant Nagar, Khandwa Naka, Nehru Nagar, Indore, Madhya Pradesh 452011",,22.734484,75.881977,
Astral Pipes,plumber,07314293799,"L-18, Side Walking Rd, Cross Road, Vijay Nagar Square, Scheme No 54, Indore, Madhya Pradesh 452010",https://astralltd.com,22.7529024,75.888395,
Mahajan Corporation - Dealer Moira Sariya,plumber,09425089570,"294-295, Keshav Vidhyapeeth Road, Ambikapuri Extension, Ambikapuri Main, Indore, Madhya Pradesh 452005",,,,
Tirupati Sanitation -,plumber,09630603090,"Shop No.5, Lalaji Complex,24, T.S, near Shree Marble, Loha Mandi, Indore, Madhya Pradesh 452001",,22.7052789,75.8669933,
Raj,plumber,07999193418,,,,,
SHRIDEV PLUMBER WORKING,plumber,08103021266,"1/1, opp. Digambar Jain Mandir, Vaishnav Stadium, North Rajmohalla, Raj Mohalla, Indore, Madhya Pradesh 452002",,,,
Manoj Bardi Plumbing Services,plumber,,"Room No.4, near Atharv Kirana store, Bhagyalakshmi Nagar, Bhagya Lakshmi Colony, Sukhliya, Indore, Madhya Pradesh 452010",,,,
Suvidha nal fitting centre,plumber,,"PV8C+V52, MG road guruwani restorent ke samne, Madhya Pradesh 452001",,,,
Shree Vinayak Plumbing Solution,plumber,,"62, near MY Square, Sanawadiya, Musakhedi, Indore, Madhya Pradesh 452003",,,,
Indian Plumbing Services,plumber,,"MRRM+F4M INDIAN Plumbing Services, near Kala Ghoda Choraha, Sector D, Sudama Nagar, Indore, Madhya Pradesh 452009",,,,
Plumbing and sanitary items,plumber,,"MR8G+X4G, Jawahar Nagar, Indore, Madhya Pradesh 452012",,,,
Indore Electrical Services | 24/7 Emergency Electrician,electrician,08103805547,"480/7, Atal Dwar Main Rd, Nehru Nagar, Indore, Madhya Pradesh 452011",https://indorelectricals.com,,,
"Pathak Electrical services. All electric solutions, electrician in Indore",electrician,06267516665,"10/2, MR 10 Rd, Shyam Nagar Annex A, annex, Indore, Madhya Pradesh 452010",,,,
Certified electrician Yogesh chouhan,electrician,06263384818,"Bangali square, Mahadev Totla Nagar, Indore, Madhya Pradesh 452016",,,,
Aman electrician,electrician,08602111657,"Ashirwad complex, Kanadia Rd, near Bengali Square, Bengali Chowk, Indore, Madhya Pradesh 452018",,,,
Artf all electric solution,electrician,09907073585,"MISHRA WALA RODE, 417/A, Gali Number 11, Chandan Nagar, Indore, Madhya Pradesh 452002",,,,
Electrician saddam,electrician,09644339290,"31, Saket 5, Sanvid Nagar, Indore, Madhya Pradesh 452016",,22.7248663,75.8971596,
Dharmendra electrical sarvice indore 24/7 emergency,electrician,09589505443,"Vijay Nagar, Scheme No 74, Indore, Madhya Pradesh 452010",https://instagram.com,22.7554171,75.8964679,
"My Electrician (Vinod patidar) Door step Electric solution, Electrical solution , electrician in indore",electrician,09753418737,"1582, near shalimar palms, Greater brijeshwari, Shalimar Palms, Indore, Madhya Pradesh 452016",,,,
