name,address,phone,category,area,lat,lng,place_id,url
Shree Vinayak Plumbing Solution,"62, near MY Square, Sanawadiya, Musakhedi, Indore, Madhya Pradesh 452003",,plumber,,,,,
Indian Plumbing Services,"MRRM+F4M INDIAN Plumbing Services, near Kala Ghoda Choraha, Sector D, Sudama Nagar, Indore, Madhya Pradesh 452009",,plumber,,,,,
Plumbing and sanitary items,"MR8G+X4G, Jawahar Nagar, Indore, Madhya Pradesh 452012",,plumber,,,,,
Indore Electrical Services | 24/7 Emergency Electrician,"480/7, Atal Dwar Main Rd, Nehru Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
"Pathak Electrical services. All electric solutions, electrician in Indore","10/2, MR 10 Rd, Shyam Nagar Annex A, annex, Indore, Madhya Pradesh 452010",,electrician,,,,,
Certified electrician Yogesh chouhan,"Bangali square, Mahadev Totla Nagar, Indore, Madhya Pradesh 452016",,electrician,,,,,
Aman electrician,"Ashirwad complex, Kanadia Rd, near Bengali Square, Bengali Chowk, Indore, Madhya Pradesh 452018",,electrician,,,,,
Artf all electric solution,"MISHRA WALA RODE, 417/A, Gali Number 11, Chandan Nagar, Indore, Madhya Pradesh 452002",,electrician,,,,,
Electrician saddam,"31, Saket 5, Sanvid Nagar, Indore, Madhya Pradesh 452016",,electrician,,,,,
Dharmendra electrical sarvice indore 24/7 emergency,"Vijay Nagar, Scheme No 74, Indore, Madhya Pradesh 452010",,electrician,,,,,
"My Electrician (Vinod patidar) Door step Electric solution, Electrical solution , electrician in indore","1582, near shalimar palms, Greater brijeshwari, Shalimar Palms, Indore, Madhya Pradesh 452016",,electrician,,,,,
Mahendra Electric Contractor-best electrician in indore,"23/5, Parsi Mohalla, Chhawni, Indore, Madhya Pradesh 452001",,electrician,,,,,
Sharfe Electrical Services,"damru ustad Chauraha, Lal Gali, Kulkarni Ka Bhatta, Pardesipura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Perfect Electrician service,"Prem Nagar, near Musakhedi, Musakhedi, Indore, Madhya Pradesh 452001",,electrician,,,,,
"Durgesh Electrician, Door step Electric solution","in front of Apollo DB City, Apollo DB City, Nipania, Indore, Madhya Pradesh 452010",,electrician,,,,,
Shree Balaji Electricals Services,"LG-17, Ahinsa Tower, Mahatma Gandhi Rd, Near Indraprastha Tower, South Tukoganj, Indore, Madhya Pradesh 452001",,electrician,,,,,
All electric working,"37 Meena Palace, near, Eastern Ring Rd, Kohinoor Colony, Indore, Madhya Pradesh 452001",,electrician,,,,,
Jay Shri Ganesh Electric®,"314/3sarvhara nagar, Teen Puliya, square, Indore, Madhya Pradesh 452003",,electrician,,,,,
Home electrician service,"60, Airport Rd, Ratan Bagh Colony, Vyankatesh Nagar, Indore, Madhya Pradesh 452005",,electrician,,,,,
(JSS) Jay sanwariya Seth electricals sales and services,"ambika chowk, 11/4 BK (2 no. Gali, Sindhi Colony, Indore, Madhya Pradesh 452001",,electrician,,,,,
Shubham Electrician,"Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",,electrician,,,,,
Rehaan Electrician,"shsket 30 5, Sanvid Nagar, Indore, Madhya Pradesh 452018",,electrician,,,,,
Pankaj Electrician,"318, Ward 35, Sunil Nagar, Malviya Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
Electrician and Technician,"Chota Bangarda, Indore, Madhya Pradesh 452005",,electrician,,,,,
B R electrician,"55, 5, Tilak Nagar Main Rd, Sanvid Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
"Daksha Electrical, Electrician home services","153 B, Veena Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,electrician,,,,,
Sonu Verma Electrician,"28 /6, Pardesipura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Electrician Rishabh,"MVJ8+9P8, Nanak Nagar, Indore, Madhya Pradesh 452001",,electrician,,,,,
Rahul electric,"408, 10, Dhar Rd, Ganga Nagar, Indore, Madhya Pradesh 452002",,electrician,,,,,
RathorJi Electrician,"12, Vidur Nagar Rd, Hawa Bangala Rd, Indore, Madhya Pradesh 452009",,electrician,,,,,
Sawariya Electrical Consultancy,"46/B, in front of Power House grid, near Little Angel School, Vandana Nagar Extension, Vandana Nagar, Indore, Madhya Pradesh 452018",,electrician,,,,,
Manjur home electrician service,"Azad Nagar, Indore, Madhya Pradesh 452001",,electrician,,,,,
Indore electrician service SKS,"Baneshwar kund, Satya Sai Bagh Colony, Nanda Nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,electrician,,,,,
Electrician,"all, 78, Scheme Number 78, Vijay Nagar, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
Nitesh Prajapati Electrician,"Gali no.8 Ganesh Dham colony, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,electrician,,,,,
Raj Verma electrician,"265/2, Lalapura, Patni Pura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Ratnesh electrician,"chota bhagda road, Shubham Palace, Indore, Madhya Pradesh 452005",,electrician,,,,,
G-9 ELECTRICAL AND ELECTRONICS SOLUTIONS,"323, 3, Sarvahara Nagar, Pardesipura, Indore, Madhya Pradesh 452011",,electrician,,,,,
